40
0.4	1280.96	8281.86	-7558.41	22360.2
0.582	2038.26	7769.95	-6757.15	18401
0.764	2415.39	6610.52	-5468.03	14177.8
0.947	2803.99	5857.82	-4528.42	12144.1
1.129	3161.37	5313.89	-3811.01	10995.9
1.311	3460.33	4879.18	-3234.16	10250.3
1.493	3705.54	4522.08	-2759.31	9740.42
1.676	3902.81	4226.12	-2365.5	9376.85
1.858	4056.22	3977.66	-2036.69	9104.03
2.04	4169.45	3766.58	-1760.72	8887.09
2.147	4218.73	3657.16	-1619.58	8776.11
2.255	4255.96	3557.18	-1492.27	8673.4
2.362	4281.76	3465.68	-1377.52	8576.41
2.469	4296.74	3381.92	-1274.28	8483.16
2.577	4301.49	3305.53	-1181.94	8392.09
2.684	4296.59	3235.57	-1099.29	8301.96
2.791	4282.58	3171.49	-1025.53	8211.81
2.898	4260.03	3112.84	-959.975	8120.93
3.006	4229.48	3059.2	-901.988	8028.74
3.113	4191.46	3010.49	-851.283	7934.85
3.22	4146.51	2966.4	-807.347	7838.96
3.328	4095.17	2926.37	-769.423	7740.9
3.435	4037.96	2890.13	-737.058	7640.54
3.542	3975.4	2857.44	-709.827	7537.87
3.65	3908.02	2828.57	-687.827	7432.9
3.757	3836.33	2802.85	-670.232	7325.7
3.864	3760.84	2780.07	-656.67	7216.38
3.971	3682.04	2760.05	-646.806	7105.07
4.079	3600.42	2742.6	-640.323	6991.96
4.186	3516.45	2727.81	-637.16	6877.22
4.293	3430.57	2715.59	-637.127	6761.06
4.401	3343.23	2705.49	-639.644	6643.68
4.508	3254.83	2697.36	-644.461	6525.31
4.615	3165.77	2691.03	-651.339	6406.18
4.723	3076.41	2686.38	-660.058	6286.5
4.83	2987.08	2683.48	-670.63	6166.5
4.937	2898.12	2682.11	-682.773	6046.4
5.044	2809.8	2682.03	-696.204	5926.41
5.152	2722.38	2683.14	-710.791	5806.74
5.259	2636.1	2685.29	-726.333	5687.57
